loss,accuracy
4.9436,0.0625
5.1951,0.0508
4.9743,0.0625
5.0052,0.0625
5.1494,0.0586
5.0451,0.0586
5.2531,0.0586
5.0239,0.0625
4.8515,0.1016
5.1662,0.0469
5.0249,0.0703
5.1128,0.0508
4.9708,0.0547
5.1764,0.0586
4.9655,0.0508
5.1427,0.0547
5.0785,0.0508
5.1282,0.0625
4.9406,0.0625
5.0685,0.0703
5.1272,0.0742
5.0879,0.0430
5.1999,0.0625
5.1665,0.0508
5.0950,0.0547
4.9533,0.0664
5.3835,0.0312
5.5259,0.0195
4.8772,0.0664
5.1982,0.0547
5.1169,0.0625
5.2322,0.0469
5.2007,0.0312
5.1804,0.0430
5.2295,0.0430
5.1639,0.0547
5.3784,0.0469
5.3427,0.0312
5.1335,0.0781
5.1741,0.0273
5.0516,0.0469
5.1783,0.0664
5.0753,0.0430
5.0359,0.0977
5.0742,0.0547
4.9960,0.0586
5.0811,0.0703
4.8975,0.0820
5.0446,0.0508
5.0077,0.0547
5.0835,0.0547
5.2038,0.0469
5.0638,0.0547
5.1211,0.0664
5.2629,0.0430
5.0533,0.0586
5.1140,0.0898
5.1763,0.0352
5.2259,0.0430
5.1124,0.0469
5.1817,0.0586
5.2034,0.0430
5.0904,0.0664
5.2943,0.0430
5.2284,0.0312
5.1208,0.0391
5.1555,0.0586
5.1090,0.0781
5.1817,0.0820
5.1348,0.0469
5.1221,0.0508
5.2322,0.0469
5.3144,0.0430
5.1881,0.0664
5.2346,0.0508
5.1950,0.0430
5.2794,0.0469
5.2023,0.0586
5.1331,0.0430
5.0678,0.0586
5.2110,0.0547
5.2996,0.0508
5.1721,0.0703
5.0716,0.0586
5.2396,0.0430
4.9487,0.0586
5.2769,0.0586
5.2437,0.0469
5.1125,0.0586
5.1588,0.0430
5.0894,0.0430
5.1106,0.0430
5.1525,0.0781
4.9528,0.0508
5.1083,0.0508
5.0909,0.0781
5.2165,0.0781
5.1039,0.0664
5.2292,0.0312
5.2061,0.0352
5.0369,0.0625
5.0220,0.0430
5.1501,0.0586
4.9348,0.0586
5.1159,0.0391
4.9698,0.0781
5.0857,0.0586
5.1758,0.0859
5.3644,0.0508
5.1879,0.0352
4.9015,0.0664
5.1367,0.0898
5.0694,0.0469
5.1358,0.0508
5.2094,0.0508
4.9637,0.0664
5.3288,0.0664
5.2546,0.0547
5.1803,0.0508
5.2846,0.0469
5.2111,0.0508
5.2689,0.0391
5.0760,0.0391
5.4289,0.0469
5.2744,0.0547
5.0148,0.0469
5.1572,0.0195
4.9759,0.0781
5.1531,0.0312
5.1940,0.0859
5.0990,0.0664
5.1245,0.0625
5.2844,0.0625
5.1496,0.0586
5.0395,0.0352
5.2945,0.0430
5.2209,0.0430
5.3286,0.0391
5.1975,0.0469
5.1606,0.0469
5.2139,0.0742
5.1433,0.0703
5.2229,0.0547
5.1629,0.0547
5.2396,0.0625
5.4805,0.0430
5.2406,0.0703
5.2245,0.0273
5.0698,0.0664
5.3146,0.0664
5.1027,0.0586
5.2115,0.0508
5.1376,0.0469
5.1614,0.0469
5.2184,0.0508
5.1995,0.0781
5.0521,0.0508
5.2812,0.0508
5.3892,0.0312
5.2614,0.0547
5.2184,0.0469
5.1848,0.0586
5.1283,0.0703
5.3787,0.0742
5.3442,0.0430
5.2425,0.0586
5.1168,0.0234
5.1530,0.0820
5.2382,0.0625
5.3181,0.0547
5.2001,0.0703
5.0529,0.0820
5.3819,0.0586
5.3654,0.0391
5.3366,0.0430
5.0881,0.0664
5.3440,0.0508
5.2045,0.0547
5.3410,0.0352
5.2381,0.0547
5.2644,0.0547
4.9914,0.0703
5.1474,0.0625
5.2047,0.0430
5.1793,0.0508
5.2739,0.0547
5.1185,0.0430
5.5069,0.0547
5.1092,0.0469
5.1385,0.0547
5.3427,0.0547
5.2174,0.0547
5.1811,0.0703
5.2975,0.0586
5.0941,0.0547
5.0867,0.0625
5.2859,0.0820
5.1872,0.0703
5.1141,0.0547
5.3319,0.0391
5.0167,0.0898
5.4712,0.0156
5.1563,0.0547
5.2251,0.0508
5.1256,0.0664
5.2642,0.0625
5.0940,0.0586
5.0887,0.0820
5.1728,0.0508
5.1114,0.0664
5.0176,0.0586
5.1704,0.1016
5.3321,0.0625
5.4324,0.0547
5.3314,0.0508
5.2017,0.0547
5.0015,0.0781
5.2355,0.0508
5.1480,0.0508
5.2732,0.0703
5.1788,0.0625
4.9800,0.0703
5.1548,0.0391
5.0358,0.0625
5.1562,0.0547
5.1011,0.0469
5.0476,0.0391
5.1779,0.0664
5.0698,0.0625
5.2241,0.0508
5.1027,0.0234
4.9811,0.0273
5.3675,0.0391
5.2161,0.0312
4.9846,0.0625
5.1857,0.0430
5.1908,0.0469
5.1025,0.0703
